BatchID,Start Date,Start Time,Start Date+Time, Num Nodes, Duration (s), Bytes Read, Bytes Written,Bytes Read (GB),Bytes Written (GB), Opens, Closes, GetAttr, SetAttr,Avg. GB Read/node,Avg. GB Written/node
3034295,10/26/16,6:22:39,10/26/16 6:22,64,6073,45458100224,14634699096,42.33615494,13.62962564,"265,284","61,171","45,886","14,955",0.66150,0.21296
3034298,10/26/16,6:27:58,10/26/16 6:27,15,6334,2256904192,2378460014,2.101905823,2.215113504,"57,048","13,180","11,160","3,135",0.14013,0.14767
3034307,10/26/16,6:39:49,10/26/16 6:39,15,5545,8073678848,2881778973,7.519199371,2.683865813,"62,955","14,501","10,326","3,555",0.50128,0.17892
3034316,10/26/16,6:55:24,10/26/16 6:55,15,5683,5958995968,2757191024,5.549747467,2.567834243,"62,894","14,478","10,512","3,555",0.36998,0.17119
3034324,10/26/16,7:04:26,10/26/16 7:04,26,5768,19043536896,5712129996,17.73567581,5.319835614,"108,778","25,058","18,248","6,162",0.68214,0.20461
3034325,10/26/16,7:05:32,10/26/16 7:05,15,5934,5966172160,2794456849,5.556430817,2.602540747,"62,599","14,453","10,427","3,555",0.37043,0.17350
3034326,10/26/16,7:10:11,10/26/16 7:10,15,5676,6729535488,2838113633,6.267368317,2.643199296,"62,860","14,494","10,414","3,555",0.41782,0.17621
3034327,10/26/16,7:10:15,10/26/16 7:10,15,5541,5457309696,2908649160,5.082515717,2.708890624,"62,708","14,474","10,416","3,555",0.33883,0.18059
3034332,10/26/16,7:12:24,10/26/16 7:12,15,5897,3806486528,2976571652,3.545066833,2.772148374,"62,683","14,493","10,574","3,555",0.23634,0.18481
3034337,10/26/16,7:17:45,10/26/16 7:17,15,5593,5286170624,2436889474,4.923130035,2.269530179,"54,255","12,646","9,123","2,996",0.32821,0.15130
3034339,10/26/16,7:21:21,10/26/16 7:21,15,6085,7889362944,2539336823,7.347541809,2.364941708,"62,796","14,474","10,564","3,555",0.48984,0.15766
3034352,10/26/16,7:45:26,10/26/16 7:45,15,5575,6088859648,2791793747,5.670692444,2.60006054,"62,755","14,477","10,240","3,555",0.37805,0.17334
3034445,10/26/16,8:05:08,10/26/16 8:05,15,5975,5478227968,2607698145,5.101997375,2.42860815,"57,250","13,286","11,850","3,203",0.34013,0.16191
3034564,10/26/16,8:41:29,10/26/16 8:41,15,5759,7947145216,2825727775,7.401355743,2.631664067,"62,722","14,488","10,288","3,555",0.49342,0.17544
3034566,10/26/16,8:48:18,10/26/16 8:48,27,5865,14905380864,5860916835,13.88171768,5.458404156,"112,856","26,070","18,892","6,399",0.51414,0.20216
3034567,10/26/16,8:50:33,10/26/16 8:50,15,6102,3421765632,2656263821,3.186767578,2.473838461,"62,766","14,488","10,340","3,555",0.21245,0.16492
3034569,10/26/16,8:52:57,10/26/16 8:52,15,5707,6261506048,3062685815,5.831481934,2.852348438,"62,751","14,473","10,336","3,555",0.38877,0.19016
3034572,10/26/16,8:54:45,10/26/16 8:54,26,5773,14675038208,5523075243,13.66719437,5.143764655,"108,805","25,085","18,512","6,162",0.52566,0.19784
3034580,10/26/16,9:03:24,10/26/16 9:03,15,5755,3081822208,2911225442,2.870170593,2.711289974,"62,804","14,482","10,399","3,555",0.19134,0.18075
3034594,10/26/16,9:14:55,10/26/16 9:14,15,5758,3803897856,2851218344,3.542655945,2.655404009,"62,777","14,499","10,282","3,555",0.23618,0.17703
3034596,10/26/16,9:14:58,10/26/16 9:14,15,5693,8289280000,2815211276,7.719993591,2.621869814,"62,763","14,441","10,299","3,555",0.51467,0.17479
3034597,10/26/16,9:15:01,10/26/16 9:15,15,5665,6214524928,2719443899,5.787727356,2.532679494,"59,920","13,785","11,701","3,342",0.38585,0.16885
3034607,10/26/16,9:23:05,10/26/16 9:23,9,5808,4029485056,1552854302,3.752750397,1.446208267,"37,693","8,691","6,173","2,133",0.41697,0.16069
3034615,10/26/16,9:35:06,10/26/16 9:35,129,5847,1.09043E+11,30261842003,101.5540085,28.18353661,"536,474","124,087","102,426","30,390",0.78724,0.21848
3034633,10/26/16,9:50:53,10/26/16 9:50,46,5977,25207611392,10527813799,23.47641754,9.804790652,"192,585","44,465","44,583","10,902",0.51036,0.21315
3034634,10/26/16,9:51:32,10/26/16 9:51,17,5589,8750829568,3384783337,8.149845123,3.152325132,"71,266","16,416","12,877","4,029",0.47940,0.18543
3034708,10/26/16,10:28:15,10/26/16 10:28,15,5693,5451497472,2766557020,5.077102661,2.576557007,"59,793","13,914","14,019","3,395",0.33847,0.17177
3034710,10/26/16,10:28:18,10/26/16 10:28,15,5742,5068509184,2530861283,4.720417023,2.357048246,"57,110","13,234","9,414","3,171",0.31469,0.15714
3034714,10/26/16,10:29:00,10/26/16 10:29,15,5717,3696349184,2626322628,3.442493439,2.445953552,"59,812","13,809","9,788","3,342",0.22950,0.16306
3034737,10/26/16,10:37:10,10/26/16 10:37,32,5859,21503844352,6313378560,20.02701569,5.879791975,"125,549","29,134","20,801","7,070",0.62584,0.18374
3034741,10/26/16,10:40:16,10/26/16 10:40,15,5556,4291952640,2819904689,3.997192383,2.626240895,"62,757","14,479","11,685","3,555",0.26648,0.17508
3034742,10/26/16,10:40:42,10/26/16 10:40,15,6068,3993563136,2820797734,3.719295502,2.627072608,"62,933","14,479","10,441","3,555",0.24795,0.17514
3034744,10/26/16,10:40:45,10/26/16 10:40,15,5610,6119116800,2808759248,5.698871613,2.615860894,"62,799","14,477","10,389","3,555",0.37992,0.17439
3034747,10/26/16,10:40:48,10/26/16 10:40,15,5608,5608632320,2752197314,5.223445892,2.563183488,"62,843","14,477","10,483","3,555",0.34823,0.17088
3034749,10/26/16,10:41:16,10/26/16 10:41,23,5715,8925274112,4651733660,8.312309265,4.332264569,"96,191","22,197","15,970","5,451",0.36140,0.18836
3034755,10/26/16,10:55:58,10/26/16 10:55,21,5556,8355475456,3882887632,7.781642914,3.616220906,"87,808","20,254","14,587","4,977",0.37055,0.17220
3034757,10/26/16,10:57:49,10/26/16 10:57,15,5701,6741823488,2746491925,6.278812408,2.557869931,"62,676","14,486","10,470","3,555",0.41859,0.17052
3034758,10/26/16,10:59:04,10/26/16 10:59,13,5666,4768284672,2212953767,4.440811157,2.0609738,"54,362","12,568","9,122","3,081",0.34160,0.15854
3034759,10/26/16,11:00:27,10/26/16 11:00,15,5711,4939231232,2590772069,4.600017548,2.412844514,"62,628","14,482","10,909","3,555",0.30667,0.16086
3034814,10/26/16,11:12:28,10/26/16 11:12,17,5813,9353523200,2493826465,8.711147308,2.322556884,"65,455","15,183","11,015","3,646",0.51242,0.13662
3034815,10/26/16,11:15:00,10/26/16 11:15,15,5796,1346236416,1792615433,1.253780365,1.66950322,"51,295","11,889","8,541","2,732",0.08359,0.11130
3034832,10/26/16,11:31:40,10/26/16 11:31,15,5496,7960199168,2379763376,7.413513184,2.216327354,"62,562","14,460","10,333","3,555",0.49423,0.14776
3034836,10/26/16,11:37:29,10/26/16 11:37,25,5932,8259760128,4494706915,7.692501068,4.186022016,"104,679","24,157","17,732","5,925",0.30770,0.16744
3034835,10/26/16,11:39:25,10/26/16 11:39,33,5826,17887211520,6385813791,16.65876389,5.947252541,"137,852","31,878","23,945","7,821",0.50481,0.18022
3034859,10/26/16,11:52:43,10/26/16 11:52,15,6040,10106507264,2590090543,9.412418365,2.412209793,"62,681","14,491","10,338","3,555",0.62749,0.16081
3034872,10/26/16,12:10:19,10/26/16 12:10,27,5748,15190761472,4965677346,14.14749908,4.624647411,"112,918","26,088","18,581","6,399",0.52398,0.17128
3034873,10/26/16,12:13:11,10/26/16 12:13,15,6202,3670474752,2369201477,3.418395996,2.206490819,"62,629","14,483","10,692","3,555",0.22789,0.14710
3034888,10/26/16,12:33:32,10/26/16 12:33,15,5647,5191852032,2559848526,4.835289001,2.38404472,"62,652","14,462","10,612","3,555",0.32235,0.15894
3034895,10/26/16,12:36:24,10/26/16 12:36,15,5619,6479085568,2410692313,6.034118652,2.245132172,"59,896","13,929","10,235","3,408",0.40227,0.14968
3034917,10/26/16,12:50:12,10/26/16 12:50,15,5668,7447564288,2436038338,6.936084747,2.268737497,"62,621","14,475","10,700","3,555",0.46241,0.15125
3034925,10/26/16,12:52:10,10/26/16 12:52,15,5787,5512105984,2339486430,5.133548737,2.178816525,"62,611","14,509","10,278","3,555",0.34224,0.14525
3034926,10/26/16,12:52:53,10/26/16 12:52,15,5828,5361328128,2528233074,4.993125916,2.354600536,"62,617","14,471","10,431","3,555",0.33288,0.15697
3034927,10/26/16,12:52:57,10/26/16 12:52,15,5656,6031912960,2146363525,5.617656708,1.998956804,"59,922","13,867","11,035","3,362",0.37451,0.13326
3034952,10/26/16,13:17:35,10/26/16 13:17,15,6235,2932916224,2693193241,2.731491089,2.508231663,"62,576","14,518","10,378","3,555",0.18210,0.16722
3034965,10/26/16,13:23:45,10/26/16 13:23,15,6088,6782803968,2586431865,6.316978455,2.408802384,"62,658","14,468","10,333","3,555",0.42113,0.16059
3034966,10/26/16,13:23:48,10/26/16 13:23,15,5529,2747994112,2109036017,2.559268951,1.964192853,"56,984","13,248","10,546","3,182",0.17062,0.13095
3034990,10/26/16,13:34:18,10/26/16 13:34,15,5796,6242713600,2425266391,5.813980103,2.258705339,"62,622","14,476","12,454","3,555",0.38760,0.15058
3035012,10/26/16,13:48:36,10/26/16 13:48,15,5655,3691884544,2386589227,3.438335419,2.222684423,"62,641","14,495","10,450","3,555",0.22922,0.14818
3035042,10/26/16,13:58:09,10/26/16 13:58,15,6341,6054764544,2688366485,5.638938904,2.503736396,"62,770","14,580","11,210","3,555",0.37593,0.16692
3035068,10/26/16,14:03:19,10/26/16 14:03,18,6402,3588878336,2587126903,3.342403412,2.409449688,"66,650","15,463","11,070","3,653",0.18569,0.13386
3035074,10/26/16,14:06:01,10/26/16 14:06,20,6226,9441161216,3653300413,8.792766571,3.402401146,"83,859","19,591","14,486","4,740",0.43964,0.17012
3035082,10/26/16,14:08:57,10/26/16 14:08,30,5892,10851426304,5439020852,10.10617828,5.065482903,"125,255","28,963","22,141","7,110",0.33687,0.16885
3035085,10/26/16,14:11:45,10/26/16 14:11,15,5743,7370309632,2443480089,6.864135742,2.275668168,"62,617","14,427","10,492","3,555",0.45761,0.15171
3035086,10/26/16,14:14:47,10/26/16 14:14,15,6142,7373950976,1946269524,6.867527008,1.812604744,"54,273","12,628","10,698","2,992",0.45784,0.12084
3035098,10/26/16,14:18:28,10/26/16 14:18,15,5771,4284665856,1913464716,3.990406036,1.782052886,"57,044","13,256","9,580","3,152",0.26603,0.11880
3035100,10/26/16,14:18:31,10/26/16 14:18,15,5655,7133712384,2186541152,6.643787384,2.036375135,"62,795","14,473","12,369","3,555",0.44292,0.13576
3035112,10/26/16,14:24:25,10/26/16 14:24,17,5619,9132900352,2799393748,8.50567627,2.607138593,"70,903","16,405","11,741","4,029",0.50033,0.15336
3035113,10/26/16,14:25:40,10/26/16 14:25,15,6145,3110141952,2037646137,2.89654541,1.897705846,"57,168","13,292","9,829","3,201",0.19310,0.12651
3035134,10/26/16,14:38:02,10/26/16 14:38,21,5819,7117795328,3569751943,6.62896347,3.32459057,"82,201","19,093","13,580","4,635",0.31566,0.15831
3035202,10/26/16,14:57:08,10/26/16 14:57,15,5796,6240575488,2525188381,5.811988831,2.351764944,"62,682","14,492","10,522","3,555",0.38747,0.15678
3035227,10/26/16,15:09:17,10/26/16 15:09,15,5562,3614064640,2503546812,3.365859985,2.331609663,"62,566","14,464","10,389","3,555",0.22439,0.15544
3035231,10/26/16,15:10:35,10/26/16 15:10,15,5968,6170685440,2321588663,5.746898651,2.162147931,"62,727","14,493","10,415","3,555",0.38313,0.14414
3035245,10/26/16,15:15:38,10/26/16 15:15,15,5572,7773310976,2096805575,7.239459991,1.952802367,"59,789","13,830","10,018","3,342",0.48263,0.13019
3035264,10/26/16,15:19:55,10/26/16 15:19,55,6117,43208445952,10925512453,40.24100113,10.17517639,"230,116","53,104","39,648","13,035",0.73165,0.18500
3035294,10/26/16,15:33:42,10/26/16 15:33,164,5944,1.18371E+11,34340124463,110.2412186,31.98173313,"686,212","158,792","127,440","38,868",0.67220,0.19501
3035295,10/26/16,15:34:02,10/26/16 15:34,15,6475,6271561728,2346904010,5.840847015,2.185724685,"2,398",378,226,116,0.38939,0.14571
3035336,10/26/16,15:49:02,10/26/16 15:49,15,5389,7767527424,2332312651,7.234073639,2.172135423,"62,610","14,508","11,452","3,555",0.48227,0.14481
3035354,10/26/16,15:59:54,10/26/16 15:59,73,5625,59720830976,14354870404,55.61935806,13.36901486,"305,141","70,499","53,942","17,301",0.76191,0.18314
3035357,10/26/16,16:00:35,10/26/16 16:00,127,6214,85194043392,27573737109,79.34313583,25.68004384,"531,637","123,189","101,221","30,099",0.62475,0.20221
3035381,10/26/16,16:15:29,10/26/16 16:15,60,5887,51221565440,12468259607,47.7038002,11.61197164,"250,592","57,964","45,106","14,220",0.79506,0.19353
3035406,10/26/16,16:30:29,10/26/16 16:30,15,6447,3463983104,2591425859,3.226085663,2.413453403,"62,854","14,576","10,748","3,555",0.21507,0.16090
3035417,10/26/16,16:33:22,10/26/16 16:33,121,7120,89692839936,28418642659,83.53296661,26.46692345,"505,380","117,252","95,102","28,465",0.69036,0.21873
3035418,10/26/16,16:33:59,10/26/16 16:33,159,7157,1.32188E+11,37084323073,123.1094246,34.53746724,"660,562","153,842","122,428","37,300",0.77427,0.21722
3035428,10/26/16,16:37:54,10/26/16 16:37,279,6962,2.34897E+11,65850453991,218.7648735,61.32801435,"1,168,160","271,130","294,267","66,123",0.78410,0.21981
3035435,10/26/16,16:39:27,10/26/16 16:39,300,6311,2.18032E+11,61347172420,203.0578232,57.13400656,"1,235,999","286,184","297,388","69,824",0.67686,0.19045
3035443,10/26/16,16:48:41,10/26/16 16:48,121,7148,1.06108E+11,29389721712,98.82071686,27.37131129,"504,916","118,032","117,584","28,573",0.81670,0.22621
3035444,10/26/16,16:48:54,10/26/16 16:48,300,7256,2.54928E+11,70711185171,237.4203262,65.85492303,"1,249,099","290,721","264,173","70,689",0.79140,0.21952
3035447,10/26/16,16:52:52,10/26/16 16:52,300,7452,2.58835E+11,76360419072,241.058445,71.11618209,"1,253,818","293,362","382,667","71,100",0.80353,0.23705
3035524,10/26/16,17:42:55,10/26/16 17:42,15,6710,2213748736,2144521402,2.061714172,1.997241193,"62,584","14,482","11,613","3,555",0.13745,0.13315
3035526,10/26/16,17:42:58,10/26/16 17:42,15,7103,4227756032,1457816042,3.937404633,1.35769699,"46,181","11,083","8,198","2,573",0.26249,0.09051
3035552,10/26/16,17:48:48,10/26/16 17:48,15,7153,3298463744,1802021921,3.071933746,1.678263695,"47,719","12,355","13,171","2,859",0.20480,0.11188
3035561,10/26/16,18:02:20,10/26/16 18:02,15,7157,29003776,1182058355,0.027011871,1.100877631,"20,990","5,327","7,524","1,155",0.00180,0.07339
3035564,10/26/16,18:02:24,10/26/16 18:02,15,7156,2205642752,1057527584,2.054164886,0.984899312,"28,755","9,083","7,229","1,802",0.13694,0.06566
3035566,10/26/16,18:07:21,10/26/16 18:07,15,7148,2592567296,972175074,2.414516449,0.905408593,"27,641","8,658","7,507","1,771",0.16097,0.06036
3035602,10/26/16,18:28:41,10/26/16 18:28,26,7197,1368195072,2836436402,1.274230957,2.641637253,"67,951","18,544","14,807","4,095",0.04901,0.10160
3035605,10/26/16,18:34:17,10/26/16 18:34,21,3930,3093585920,652656918,2.881126404,0.607834121,"26,987","6,662","4,613","1,000",0.13720,0.02894
